Country or Area,Year,Sex,City,Value
Albania,2003,Both Sexes,TIRANA,392863
Albania,2003,Female,TIRANA,198857
Albania,2003,Male,TIRANA,194006
Albania,2011,Both Sexes,Durrës,113249
Albania,2011,Both Sexes,TIRANA,418495
Albania,2011,Female,Durrës,56738
Albania,2011,Female,TIRANA,215256
Albania,2011,Male,Durrës,56511
Albania,2011,Male,TIRANA,203239
Algeria,1998,Both Sexes,ALGIERS (EL DJAZAIR),1569897
Algeria,1998,Both Sexes,Annaba,352523
Algeria,1998,Both Sexes,Batna,246800
Algeria,1998,Both Sexes,Bejaïa,144405
Algeria,1998,Both Sexes,Beskra (Biskra),177060
Algeria,1998,Both Sexes,Bordj Bou Arreridj,129004
Algeria,1998,Both Sexes,Bordj el Kiffan,103690
Algeria,1998,Both Sexes,Béchar,134523
Algeria,1998,Both Sexes,Ech Cheliff (El Asnam),174314
Algeria,1998,Both Sexes,El Boulaïda (Blida),229788
Algeria,1998,Both Sexes,El Djelfa,158679
Algeria,1998,Both Sexes,El Eulma,104758
Algeria,1998,Both Sexes,El Wad,105151
Algeria,1998,Both Sexes,Ghardaïa,127959
Algeria,1998,Both Sexes,Ghilizane (Relizane),104644
Algeria,1998,Both Sexes,Guelma,108682
Algeria,1998,Both Sexes,Jijel,106306
Algeria,1998,Both Sexes,Lemdiyya (Médéa),128427
Algeria,1998,Both Sexes,M'Sila,102151
Algeria,1998,Both Sexes,Mestghanem (Mostaganem),125911
Algeria,1998,Both Sexes,Qacentina (Constantine),465021
Algeria,1998,Both Sexes,Saïda,113533
Algeria,1998,Both Sexes,Sidi-bel-Abbès,183931
Algeria,1998,Both Sexes,Skikda,153531
Algeria,1998,Both Sexes,Souq Ahras,114512
Algeria,1998,Both Sexes,Stif (Sétif),214842
Algeria,1998,Both Sexes,Tbessa (Tébessa),154335
Algeria,1998,Both Sexes,Tihert (Tiaret),148850
Algeria,1998,Both Sexes,Tilimsen (Tlemcen),156258
Algeria,1998,Both Sexes,Touggourt,114183
Algeria,1998,Both Sexes,Wahran (Oran),705335
Algeria,1998,Both Sexes,Wargla (Ouargla),139381
Algeria,2008,Both Sexes,ALGIERS (EL DJAZAIR),2712944
Algeria,2008,Both Sexes,Adrar,200834
Algeria,2008,Both Sexes,Ain Defla,450280
Algeria,2008,Both Sexes,Ain Temouchent,299341
Algeria,2008,Both Sexes,Annaba,442230
Algeria,2008,Both Sexes,Batna,768444
Algeria,2008,Both Sexes,Bejaïa,559981
Algeria,2008,Both Sexes,Beskra (Biskra),563245
Algeria,2008,Both Sexes,Bordj Bou Arreridj,422986
Algeria,2008,Both Sexes,Bouira,372196
Algeria,2008,Both Sexes,Boumerdes,459250
Algeria,2008,Both Sexes,Béchar,236213
Algeria,2008,Both Sexes,Chlef,521070
Algeria,2008,Both Sexes,El Bayadh,192958
Algeria,2008,Both Sexes,El Boulaïda (Blida),719515
Algeria,2008,Both Sexes,El Djelfa,825411
Algeria,2008,Both Sexes,El Oued,495573
Algeria,2008,Both Sexes,El Tarf,230157
Algeria,2008,Both Sexes,Ghardaïa,355701
Algeria,2008,Both Sexes,Ghilizane (Relizane),432386
Algeria,2008,Both Sexes,Guelma,363716
Algeria,2008,Both Sexes,Jijel,391096
Algeria,2008,Both Sexes,Khenchela,288849
Algeria,2008,Both Sexes,Laghouat,371204
Algeria,2008,Both Sexes,Lemdiyya (Médéa),519383
Algeria,2008,Both Sexes,M'Sila,666848
Algeria,2008,Both Sexes,Mestghanem (Mostaganem),338143
Algeria,2008,Both Sexes,Mila,440735
Algeria,2008,Both Sexes,Mouaskar (Mascara),513432
Algeria,2008,Both Sexes,Naama,160381
Algeria,2008,Both Sexes,Oum El Bouaghi,467997
Algeria,2008,Both Sexes,Qacentina (Constantine),717646
Algeria,2008,Both Sexes,Saïda,248939
Algeria,2008,Both Sexes,Sidi-bel-Abbès,517836
Algeria,2008,Both Sexes,Skikda,543402
Algeria,2008,Both Sexes,Souq Ahras,308319
Algeria,2008,Both Sexes,Stif (Sétif),856457
Algeria,2008,Both Sexes,Tamanrasset,136822
Algeria,2008,Both Sexes,Tbessa (Tébessa),515786
Algeria,2008,Both Sexes,Tihert (Tiaret),637991
Algeria,2008,Both Sexes,Tilimsen (Tlemcen),672490
Algeria,2008,Both Sexes,Tipaza,343838
Algeria,2008,Both Sexes,Tissemsilt,193011
Algeria,2008,Both Sexes,Tizi Ouzou,585775
Algeria,2008,Both Sexes,Wahran (Oran),1165687
Algeria,2008,Both Sexes,Wargla (Ouargla),473543
Andorra,2003,Both Sexes,ANDORRA LA VELLA,21245
Andorra,2003,Female,ANDORRA LA VELLA,10543
Andorra,2003,Male,ANDORRA LA VELLA,10702
Andorra,2005,Both Sexes,ANDORRA LA VELLA,23587
Andorra,2005,Female,ANDORRA LA VELLA,11718
Andorra,2005,Male,ANDORRA LA VELLA,11869
Andorra,2006,Both Sexes,ANDORRA LA VELLA,24211
Andorra,2006,Female,ANDORRA LA VELLA,11944
Andorra,2006,Male,ANDORRA LA VELLA,12267
Andorra,2007,Both Sexes,ANDORRA LA VELLA,24574
Andorra,2007,Female,ANDORRA LA VELLA,12148
Andorra,2007,Male,ANDORRA LA VELLA,12426
Andorra,2008,Both Sexes,ANDORRA LA VELLA,24632
Andorra,2008,Female,ANDORRA LA VELLA,12195
Andorra,2008,Male,ANDORRA LA VELLA,12437
Andorra,2009,Both Sexes,ANDORRA LA VELLA,24779
Andorra,2009,Female,ANDORRA LA VELLA,12240
Andorra,2009,Male,ANDORRA LA VELLA,12539
Andorra,2010,Both Sexes,ANDORRA LA VELLA,23505
Andorra,2010,Female,ANDORRA LA VELLA,11755
Andorra,2010,Male,ANDORRA LA VELLA,11750
Andorra,2011,Both Sexes,ANDORRA LA VELLA,22205
Andorra,2011,Female,ANDORRA LA VELLA,11149
Andorra,2011,Male,ANDORRA LA VELLA,11056
Antigua and Barbuda,1991,Both Sexes,ST. JOHN,22342
Argentina,1991,Both Sexes,Avellaneda,344024
Argentina,1991,Both Sexes,BUENOS AIRES,11298030
Argentina,1991,Both Sexes,Bahía Blanca-Cerri,260096
Argentina,1991,Both Sexes,Catamarca,132626
Argentina,1991,Both Sexes,Comodoro Rivadavia-Rada Tilly,124104
Argentina,1991,Both Sexes,Concordia,116485
Argentina,1991,Both Sexes,Corrientes,258103
Argentina,1991,Both Sexes,Córdoba,1208554
Argentina,1991,Both Sexes,Formosa,147636
Argentina,1991,Both Sexes,General San Martín,406809
Argentina,1991,Both Sexes,La Matanza,1120088
Argentina,1991,Both Sexes,La Plata,642979
Argentina,1991,Both Sexes,Lanus,468561
Argentina,1991,Both Sexes,Lomas de Zamora,574330
Argentina,1991,Both Sexes,Mar del Plata-Batán,512880
Argentina,1991,Both Sexes,Mendoza,773113
Argentina,1991,Both Sexes,Morón,643553
Argentina,1991,Both Sexes,Neuquén-Plottier,183579
Argentina,1991,Both Sexes,Paraná,211936
Argentina,1991,Both Sexes,Posadas,210755
Argentina,1991,Both Sexes,Quilmes,511234
Argentina,1991,Both Sexes,Resistencia,292287
Argentina,1991,Both Sexes,Rosario,1118905
Argentina,1991,Both Sexes,Río Cuarto,138853
Argentina,1991,Both Sexes,Salta,370904
Argentina,1991,Both Sexes,San Fernando,141063
Argentina,1991,Both Sexes,San Isidro,299023
Argentina,1991,Both Sexes,San Juan,352691
Argentina,1991,Both Sexes,San Miguel de Tucumán,622324
Argentina,1991,Both Sexes,San Nicolás-Villa Constitución,119302
Argentina,1991,Both Sexes,San Salvador de Jujuy-Palpalá,180102
Argentina,1991,Both Sexes,Santa Fé,406388
Argentina,1991,Both Sexes,Santiago del Estero-La Banda,263471
Argentina,1991,Both Sexes,Vicente López,289505
Argentina,2010,Both Sexes,BUENOS AIRES,13047383
Argentina,2010,Both Sexes,Bahía Blanca-Cerri,310151
Argentina,2010,Both Sexes,Catamarca,204865
Argentina,2010,Both Sexes,Comodoro Rivadavia-Rada Tilly,143291
Argentina,2010,Both Sexes,Concordia,152271
Argentina,2010,Both Sexes,Corrientes,358278
Argentina,2010,Both Sexes,Córdoba,1405547
Argentina,2010,Both Sexes,Formosa,240088
Argentina,2010,Both Sexes,La Plata,744885
Argentina,2010,Both Sexes,La Rioja,181938
Argentina,2010,Both Sexes,Mar del Plata-Batán,618111
Argentina,2010,Both Sexes,Mendoza,902127
Argentina,2010,Both Sexes,Neuquén-Plottier,265215
Argentina,2010,Both Sexes,Paraná,276605
Argentina,2010,Both Sexes,Posadas,298450
Argentina,2010,Both Sexes,Rawson-Trelew-Playa Unión,128970
Argentina,2010,Both Sexes,Resistencia,389940
Argentina,2010,Both Sexes,Rosario,1261404
Argentina,2010,Both Sexes,Río Cuarto,164344
Argentina,2010,Both Sexes,Salta,537106
