Country or Area,Year,Sex_m,Value_m,Sex_f,Value_f,Sex_b,Value_b
Albania,2003,Male,194006,Female,198857,Both Sexes,392863
Albania,2011,Male,259750,Female,271994,Both Sexes,531744
Andorra,2003,Male,10702,Female,10543,Both Sexes,21245
Andorra,2005,Male,11869,Female,11718,Both Sexes,23587
Andorra,2006,Male,12267,Female,11944,Both Sexes,24211
Andorra,2007,Male,12426,Female,12148,Both Sexes,24574
Andorra,2008,Male,12437,Female,12195,Both Sexes,24632
Andorra,2009,Male,12539,Female,12240,Both Sexes,24779
Andorra,2010,Male,11750,Female,11755,Both Sexes,23505
Andorra,2011,Male,11056,Female,11149,Both Sexes,22205
Argentina,2015,Male,12561246,Female,13383085,Both Sexes,25944331
Argentina,2016,Male,13157791,Female,13968648,Both Sexes,27126439
Argentina,2019,Male,13740223,Female,14544915,Both Sexes,28285150
Argentina,2020,Male,13878894,Female,14677235,Both Sexes,28556144
Argentina,2021,Male,14015643,Female,14807845,Both Sexes,28823503
Argentina,2022,Male,14150499,Female,14936759,Both Sexes,29087275
Argentina,2024,Male,14413973,Female,15188994,Both Sexes,29602978
Armenia,2001,Male,634676,Female,727123,Both Sexes,1361799
Armenia,2004,Male,634998,Female,722529,Both Sexes,1357527
Armenia,2006,Male,636252,Female,721446,Both Sexes,1357698
Armenia,2007,Male,637205,Female,721628,Both Sexes,1358833
Armenia,2008,Male,638837,Female,722333,Both Sexes,1361170
Armenia,2009,Male,643020,Female,724808,Both Sexes,1367828
Armenia,2011,Male,547494,Female,634620,Both Sexes,1182114
Armenia,2015,Male,590812,Female,682783,Both Sexes,1273595
Armenia,2016,Male,589939,Female,683112,Both Sexes,1273051
Armenia,2017,Male,586416,Female,685538,Both Sexes,1271954
Armenia,2018,Male,586194,Female,686363,Both Sexes,1272557
Armenia,2019,Male,586383,Female,687344,Both Sexes,1273727
Armenia,2020,Male,587995,Female,689198,Both Sexes,1277193
Armenia,2022,Male,571012,Female,703152,Both Sexes,1274164
Armenia,2023,Male,508741,Female,590125,Both Sexes,1098866
Australia,2001,Male,6884574,Female,7169888,Both Sexes,14054462
Australia,2003,Male,7197251,Female,7367557,Both Sexes,14564808
Australia,2004,Male,7292537,Female,7447881,Both Sexes,14740418
Australia,2005,Male,7406885,Female,7548255,Both Sexes,14955140
Australia,2006,Male,6915184,Female,7165021,Both Sexes,14080205
Australia,2009,Male,8045696,Female,8187736,Both Sexes,16233432
Australia,2010,Male,8397120,Female,8543453,Both Sexes,16940573
Australia,2011,Male,8568274,Female,8823387,Both Sexes,17391661
Australia,2012,Male,8323623,Female,8479643,Both Sexes,16803266
Australia,2013,Male,8499065,Female,8654702,Both Sexes,17153767
Australia,2014,Male,8644439,Female,8805987,Both Sexes,17450426
Australia,2015,Male,8764572,Female,8939112,Both Sexes,17703684
Australia,2016,Male,9735310,Female,9955524,Both Sexes,19690826
Australia,2017,Male,9959056,Female,10177305,Both Sexes,20136361
Australia,2018,Male,10105070,Female,10324719,Both Sexes,20429789
Australia,2019,Male,10310669,Female,10536137,Both Sexes,20846806
Australia,2020,Male,10455139,Female,10698080,Both Sexes,21153219
Australia,2021,Male,10593054,Female,10839565,Both Sexes,21432628
Australia,2022,Male,10670347,Female,10908623,Both Sexes,21578970
Australia,2023,Male,10979430,Female,11214931,Both Sexes,22194361
Austria,2001,Male,1416894,Female,1572998,Both Sexes,2989892
Austria,2005,Male,1162198,Female,1277900,Both Sexes,2440098
Austria,2006,Male,1162479,Female,1279408,Both Sexes,2441887
Austria,2007,Male,1128825,Female,1238624,Both Sexes,2367449
Austria,2008,Male,1137999,Female,1247153,Both Sexes,2385152
Austria,2009,Male,1201386,Female,1315555,Both Sexes,2516941
Austria,2010,Male,1241376,Female,1356854,Both Sexes,2598230
Austria,2011,Male,1254322,Female,1367289,Both Sexes,2621438
Austria,2012,Male,1267821,Female,1377706,Both Sexes,2645527
Austria,2013,Male,1273011,Female,1382642,Both Sexes,2655653
Austria,2014,Male,1294085,Female,1398364,Both Sexes,2692449
Austria,2016,Male,1356910,Female,1442342,Both Sexes,2799252
Austria,2017,Male,1379280,Female,1457702,Both Sexes,2836982
Austria,2018,Male,1395194,Female,1469890,Both Sexes,2865084
Austria,2019,Male,1402352,Female,1476252,Both Sexes,2878604
Austria,2021,Male,1836892,Female,1918893,Both Sexes,3755785
Azerbaijan,2003,Male,1183500,Female,1243700,Both Sexes,2427200
Azerbaijan,2004,Male,1191200,Female,1251700,Both Sexes,2442900
Azerbaijan,2007,Male,1232010,Female,1280085,Both Sexes,2512095
Azerbaijan,2008,Male,1243190,Female,1298603,Both Sexes,2541793
Azerbaijan,2009,Male,1316930,Female,1367211,Both Sexes,2676459
Azerbaijan,2010,Male,1335243,Female,1371986,Both Sexes,2707229
Azerbaijan,2012,Male,1373205,Female,1407377,Both Sexes,2780582
Azerbaijan,2013,Male,1392484,Female,1425022,Both Sexes,2817506
Azerbaijan,2015,Male,1425068,Female,1453748,Both Sexes,2878816
Azerbaijan,2016,Male,1438525,Female,1465616,Both Sexes,2904141
Azerbaijan,2017,Male,1450212,Female,1476040,Both Sexes,2926252
Azerbaijan,2018,Male,1460359,Female,1485161,Both Sexes,2945520
Azerbaijan,2019,Male,1658169,Female,1724808,Both Sexes,3382977
Azerbaijan,2022,Male,1144600,Female,1189100,Both Sexes,2333700
Azerbaijan,2023,Male,1148000,Female,1192700,Both Sexes,2340700
Bahamas,2000,Male,101558,Female,109274,Both Sexes,210832
Bahamas,2009,Male,119700,Female,124700,Both Sexes,244400
Bahamas,2016,Male,128100,Female,138000,Both Sexes,266100
Bahamas,2022,Male,141337,Female,155395,Both Sexes,296732
Bahrain,2001,Male,98320,Female,55075,Both Sexes,153395
Bangladesh,2001,Male,6478529,Female,5267462,Both Sexes,11745991
Bangladesh,2011,Male,7623781,Female,6433418,Both Sexes,14057199
Bangladesh,2022,Male,14518676,Female,13112067,Both Sexes,27632646
Belarus,1999,Male,2176036,Female,2471488,Both Sexes,4647524
Belarus,2003,Male,2175880,Female,2507772,Both Sexes,4683652
Belarus,2004,Male,2187662,Female,2534423,Both Sexes,4722085
Belarus,2006,Male,2240084,Female,2606056,Both Sexes,4846140
Belarus,2008,Male,2214231,Female,2586796,Both Sexes,4801027
Belarus,2009,Male,2288515,Female,2680856,Both Sexes,4969342
Belarus,2010,Male,2217915,Female,2612663,Both Sexes,4830578
Belarus,2011,Male,2238690,Female,2644667,Both Sexes,4883357
Belarus,2012,Male,2241641,Female,2652921,Both Sexes,4894562
Belarus,2013,Male,2262818,Female,2679514,Both Sexes,4942332
Belarus,2015,Male,2359169,Female,2794819,Both Sexes,5153988
Belarus,2017,Male,2380495,Female,2823070,Both Sexes,5203565
Belarus,2018,Male,2386008,Female,2830140,Both Sexes,5216148
Belarus,2019,Male,2336174,Female,2780310,Both Sexes,5116484
Belarus,2020,Male,2337190,Female,2782133,Both Sexes,5119323
Belgium,2000,Male,1078603,Female,1162647,Both Sexes,2241250
Belgium,2001,Male,1624513,Female,1742844,Both Sexes,3367357
Belgium,2006,Male,1127067,Female,1199141,Both Sexes,2326208
Belgium,2007,Male,1697232,Female,1805072,Both Sexes,3502304
Belgium,2009,Male,1787348,Female,1892897,Both Sexes,3680245
Belgium,2011,Male,1862510,Female,1950387,Both Sexes,3812892
Belgium,2021,Male,3580061,Female,3700413,Both Sexes,7280474
Belgium,2023,Male,1506970,Female,1541107,Both Sexes,3048077
Belize,2010,Male,6779,Female,7160,Both Sexes,13939
Belize,2022,Male,9893,Female,10860,Both Sexes,20753
Benin,2013,Male,579216,Female,619594,Both Sexes,1198810
Bhutan,2005,Male,42465,Female,36720,Both Sexes,79185
Bhutan,2017,Male,58996,Female,55555,Both Sexes,114551
Bolivia,2001,Male,1807131,Female,1923924,Both Sexes,3731055
Bosnia and Herzegovina,1991,Male,661420,Female,679876,Both Sexes,1345011
Botswana,2001,Male,167110,Female,167054,Both Sexes,395465
Botswana,2011,Male,161704,Female,168849,Both Sexes,330553
Botswana,2022,Male,168376,Female,181367,Both Sexes,349743
Brazil,2010,Male,48450630,Female,52775818,Both Sexes,101226448
Brazil,2022,Male,75481838,Female,82338906,Both Sexes,159090235
Brunei,2001,Male,13639,Female,13646,Both Sexes,27285
Bulgaria,2003,Male,1155909,Female,1261959,Both Sexes,2417868
Bulgaria,2005,Male,1145816,Female,1254718,Both Sexes,2400536
Bulgaria,2006,Male,1149255,Female,1258039,Both Sexes,2407294
Bulgaria,2007,Male,1151527,Female,1260326,Both Sexes,2411854
Bulgaria,2008,Male,1155504,Female,1264942,Both Sexes,2420446
Bulgaria,2009,Male,1161355,Female,1270983,Both Sexes,2432338
Bulgaria,2010,Male,1165144,Female,1275073,Both Sexes,2440217
Bulgaria,2011,Male,1185493,Female,1288178,Both Sexes,2473671
Bulgaria,2012,Male,1186071,Female,1288889,Both Sexes,2474960
Bulgaria,2015,Male,1193612,Female,1297673,Both Sexes,2491285
Bulgaria,2016,Male,1193803,Female,1299486,Both Sexes,2493289
Bulgaria,2017,Male,1195517,Female,1302081,Both Sexes,2497598
Bulgaria,2018,Male,1196852,Female,1303336,Both Sexes,2500188
Bulgaria,2019,Male,1198042,Female,1304692,Both Sexes,2502734
Bulgaria,2020,Male,1195571,Female,1303886,Both Sexes,2499457
Bulgaria,2021,Male,1168618,Female,1279475,Both Sexes,2448093
Burkina Faso,1996,Male,541828,Female,518341,Both Sexes,1060169
Burkina Faso,2006,Male,1622133,Female,1644067,Both Sexes,3266200
Burkina Faso,2019,Male,1919617,Female,2004500,Both Sexes,3924117
Burundi,1990,Male,129195,Female,106245,Both Sexes,235440
Burundi,2008,Male,274979,Female,222190,Both Sexes,497169
Cabo Verde,2021,Male,69195,Female,72024,Both Sexes,141219
Cameroon,2005,Male,2547941,Female,2524262,Both Sexes,5316369
Canada,2001,Male,9865980,Female,10169025,Both Sexes,21364115
Canada,2003,Male,10021853,Female,10320495,Both Sexes,20342348
Canada,2004,Male,10220727,Female,10533363,Both Sexes,20754090
Canada,2005,Male,10358994,Female,10671149,Both Sexes,21030143
Canada,2006,Male,12355475,Female,13013495,Both Sexes,25349401
Canada,2007,Male,10642222,Female,10957481,Both Sexes,21599703
Canada,2008,Male,11279287,Female,11554605,Both Sexes,22833892
Canada,2009,Male,11469464,Female,11752287,Both Sexes,23221751
Canada,2010,Male,11643483,Female,11930290,Both Sexes,23573773
Canada,2011,Male,12238305,Female,12840310,Both Sexes,25078605
Canada,2014,Male,15398996,Female,15826695,Both Sexes,31225691
Canada,2016,Male,16582091,Female,17075636,Both Sexes,33634591
Canada,2017,Male,16670504,Female,17114439,Both Sexes,33784943
Canada,2018,Male,17302626,Female,17443121,Both Sexes,34743730
Canada,2019,Male,17504059,Female,17887841,Both Sexes,35391900
Canada,2020,Male,17757925,Female,18138931,Both Sexes,35896856
