Country or Area,percentage_f,percentage_m
Latvia,55.56315789473685,44.43684210526315
Lithuania,54.89450000000001,45.1055
Estonia,54.807647058823534,45.192352941176466
Russia,54.52,45.48
Ukraine,54.33363636363636,45.666363636363634
Georgia,54.29,45.71
Portugal,54.02842105263158,45.97157894736842
Belarus,54.00666666666667,45.99333333333333
Eritrea,53.9,46.1
Armenia,53.63533333333333,46.36466666666667
El Salvador,53.43375,46.56625
Kazakhstan,53.319,46.686
Hungary,53.290952380952376,46.70904761904762
Romania,53.159000000000006,46.8415
Croatia,53.1,46.9
Moldova,53.07142857142857,46.92857142857143
Uruguay,53.06733333333333,46.932
Poland,52.99285714285714,47.00785714285714
Honduras,52.87,47.13
Jamaica,52.77333333333333,47.22666666666667
Slovakia,52.764736842105265,47.235263157894735
Nicaragua,52.75,47.25
Kyrgyzstan,52.65352941176471,47.34647058823529
Italy,52.48210526315789,47.51789473684211
Guyana,52.44,47.56
North Korea,52.32,47.68
Greece,52.315,47.685
Uganda,52.3,47.7
Lebanon,52.24,47.76
Myanmar,52.19,47.81
Bulgaria,52.183125,47.816875
Guatemala,52.17333333333334,47.82666666666666
Colombia,52.150000000000006,47.849999999999994
Cyprus,52.14,47.86
France,52.0875,47.9125
Serbia,52.086,47.914
Slovenia,52.05499999999999,47.9465
Spain,52.006,47.940000000000005
Austria,51.955625,48.045
Sao Tome and Principe,51.95,48.05
Brazil,51.95,47.655
Cuba,51.864999999999995,48.135000000000005
Mozambique,51.86,48.14
Belize,51.849999999999994,48.150000000000006
Finland,51.823,48.177
Trinidad and Tobago,51.82,48.18
Bahamas,51.769999999999996,48.230000000000004
Togo,51.735,48.265
Kiribati,51.73,48.27
Saint Lucia,51.69,48.31
Czechia,51.68294117647059,48.31823529411764
Benin,51.68,48.32
Madagascar,51.620000000000005,48.379999999999995
Mongolia,51.593809523809526,48.406190476190474
Bolivia,51.57,48.43
Liechtenstein,51.54125,48.463125
San Marino,51.513999999999996,48.486000000000004
Botswana,51.47,48.53
Argentina,51.417142857142856,48.582857142857144
Ecuador,51.41,48.59
Montenegro,51.394999999999996,48.605000000000004
Panama,51.34,48.66
Ireland,51.336666666666666,48.663333333333334
Belgium,51.33625,48.66375
Dominican Republic,51.325,48.675
Peru,51.28,48.72
Germany,51.23727272727273,48.76454545454545
Mexico,51.21666666666667,48.665
United States,51.18,48.78666666666667
Ghana,51.175,48.825
Monaco,51.16,48.46
Chile,51.15157894736842,48.84947368421052
Thailand,51.129999999999995,48.870000000000005
Zimbabwe,51.1025,48.8975
United Kingdom,51.09,48.91
Japan,51.048571428571435,48.951428571428565
Israel,51.03863636363636,48.96318181818182
Switzerland,51.031333333333336,48.968666666666664
Cabo Verde,51.0,49.0
New Zealand,50.94833333333333,49.05166666666667
Paraguay,50.93,49.07
Liberia,50.92,49.08
Malta,50.905,49.095
North Macedonia,50.901250000000005,49.098749999999995
Albania,50.885,49.115
South Africa,50.83,49.17
Azerbaijan,50.81266666666667,49.206
Mauritius,50.71619047619048,49.28380952380952
Sweden,50.6825,49.3175
Canada,50.66166666666666,49.34833333333333
Namibia,50.645,49.355
Denmark,50.63611111111111,49.36388888888889
Zambia,50.62,49.38
Tonga,50.61666666666667,49.38333333333333
Australia,50.568,49.432
Uzbekistan,50.56454545454546,49.43545454545454
Bosnia and Herzegovina,50.55,49.18
Tanzania,50.53666666666667,49.46333333333333
Suriname,50.48333333333333,49.47666666666667
Venezuela,50.44,49.56
Sierra Leone,50.4,49.6
Norway,50.333125,49.666875
South Korea,50.268235294117645,49.731764705882355
Philippines,50.225,49.775
Senegal,50.22,49.78
Fiji,50.19333333333333,49.80666666666667
Burkina Faso,50.10333333333333,49.89666666666667
Iceland,50.04,49.96
Brunei,50.01,49.99
Tunisia,50.01,49.99
Grenada,50.00555555555556,49.99444444444444
Malawi,49.995000000000005,50.004999999999995
Turkey,49.99,50.01
Guinea,49.98,50.02
Indonesia,49.94,50.06
Niger,49.9,50.1
Costa Rica,49.896470588235296,50.103529411764704
Samoa,49.833333333333336,50.166666666666664
Mali,49.8,50.2
Ivory Coast,49.77,50.23
Kenya,49.755,50.245
Andorra,49.65,50.35
Iran,49.39000000000001,50.379999999999995
Marshall Islands,49.3,50.7
Palestine,49.05,50.95
Vanuatu,49.03333333333333,50.96666666666667
Luxembourg,48.98818181818182,51.01181818181818
Nepal,48.870000000000005,51.129999999999995
Malaysia,48.78666666666666,51.21333333333334
Singapore,48.739999999999995,51.260000000000005
Egypt,48.71,51.29
Gabon,48.685,51.315
China,48.575,51.425
Tuvalu,48.445,51.555
Tajikistan,48.414,51.586
Sri Lanka,48.33,51.67
Rwanda,48.06666666666666,51.93333333333334
Jordan,47.730000000000004,52.269999999999996
Pakistan,47.586666666666666,52.32333333333333
Mauritania,47.495000000000005,52.504999999999995
Timor-Leste,47.480000000000004,52.519999999999996
India,47.44,52.56
Bhutan,47.435,52.565
Gambia,47.39,52.61
Palau,46.59,53.41
Bangladesh,46.02,53.97666666666667
Papua New Guinea,45.905,54.095
South Sudan,45.22,54.78
Burundi,44.91,55.09
Maldives,44.06818181818182,55.93181818181818
Saudi Arabia,41.5425,58.4575
Oman,39.265,60.735
Bahrain,35.9,64.1
Vatican City,33.71,66.29
Qatar,27.805714285714284,72.19285714285715
Kuwait,24.259999999999998,75.74000000000001
